0	47.1
0.108	46.9
0.216	46.5
0.324	46.4
0.432	47.4
0.54	47.1
0.648	47.1
0.756	47.7
0.864	47.5
0.972	48.2
1.08	48.1
1.188	46.5
1.296	47
1.404	47.5
1.512	48.7
1.62	48
1.728	47.1
1.836	48.3
1.944	47.4
2.052	46.6
2.16	48
2.268	47.5
2.376	47.9
2.484	47.6
2.592	47.6
2.7	47.3
2.808	47.4
2.916	47.6
3.024	47.4
3.132	47.1
3.24	48
3.348	49.8
3.456	48.6
3.564	48.2
3.672	47.1
3.78	47.1
3.888	47.1
3.996	47.1
4.104	47.1
4.212	47.4
4.32	46.8
4.428	47.6
4.536	47.6
4.644	47.8
4.752	47.2
4.86	47.2
4.968	47.2
5.076	47
5.184	47
5.292	47
5.4	47.1
5.508	46.7
5.616	47.2
5.724	47.3
5.832	47
5.94	48.7
6.048	47.7
6.156	47.7
6.264	47.2
6.372	46.7
6.48	48
6.588	48
6.696	48
6.804	48.1
6.912	48.1
7.02	47.5
7.128	47.5
7.236	47.6
7.344	47.8
7.452	47.5
7.56	47.7
7.668	47.7
7.776	48.3
7.884	47.7
7.992	47.9
8.1	47.3
8.208	47.8
8.316	47.2
8.424	47.9
