0	50.3
0.108	50.1
0.216	49.3
0.324	49.2
0.432	48.8
0.54	49.3
0.648	50.3
0.756	50.3
0.864	49.7
0.972	49.7
1.08	49.2
1.188	49.2
1.296	48.9
1.404	49.6
1.512	49.5
1.62	49.3
1.728	50
1.836	50
1.944	49.2
2.052	50
2.16	49.7
2.268	50.2
2.376	50.2
2.484	50
2.592	50.6
2.7	49.2
2.808	50.3
2.916	49.8
3.024	49.9
3.132	49.8
3.24	50.3
3.348	50.9
3.456	50.6
3.564	50.8
3.672	50.6
3.78	50.4
3.888	50.3
3.996	50.3
4.104	51.2
4.212	49.9
4.32	49.8
4.428	50.1
4.536	49.7
4.644	49.8
4.752	49.4
4.86	49.6
4.968	49.8
5.076	49.3
5.184	49.6
5.292	50.1
5.4	49.9
5.508	49.9
5.616	50.1
5.724	50.1
5.832	51.2
5.94	51.3
6.048	51.3
6.156	51.4
6.264	51.5
6.372	51.5
6.48	50.8
6.588	50.8
6.696	51.3
6.804	51.3
6.912	51.3
7.02	51.3
7.128	50.7
7.236	50.7
7.344	50.6
7.452	50.6
7.56	51.8
7.668	51.8
7.776	51.8
7.884	51.8
7.992	51.7
8.1	51.7
8.208	52.7
8.316	51.6
8.424	52.5
