0	47.7
0.108	48.5
0.216	49.3
0.324	48.3
0.432	48.2
0.54	48.5
0.648	49
0.756	49.8
0.864	48.5
0.972	48.7
1.08	49.9
1.188	48.4
1.296	48.5
1.404	47.6
1.512	48.4
1.62	50
1.728	49.2
1.836	49.5
1.944	49.6
2.052	50.3
2.16	49.3
2.268	50.6
2.376	50.1
2.484	49.2
2.592	49.2
2.7	48.9
2.808	49.6
2.916	50.2
3.024	50
3.132	49.8
3.24	49.4
3.348	49.7
3.456	49.9
3.564	50
3.672	49.3
3.78	49.4
3.888	49.5
3.996	49.3
4.104	48.6
4.212	48.5
4.32	49
4.428	49.4
4.536	49.2
4.644	48.8
4.752	49.1
4.86	48.9
4.968	48.9
5.076	49.1
5.184	50.1
5.292	49.5
5.4	50
5.508	49.5
5.616	48.7
5.724	48.6
5.832	48.8
5.94	49.2
6.048	49.3
6.156	49.3
6.264	49.6
6.372	49.6
6.48	49.3
6.588	49.3
6.696	49.3
6.804	48.9
6.912	49.9
7.02	49.3
7.128	49.3
7.236	49.3
7.344	49.3
7.452	48.8
7.56	49.3
7.668	49.3
7.776	49.6
7.884	49.2
7.992	49.2
8.1	49.1
8.208	49
8.316	48.8
8.424	49.5
