0	48.4
0.108	51.3
0.216	48.3
0.324	48.2
0.432	47.3
0.54	46.8
0.648	46.6
0.756	47.9
0.864	47.5
0.972	47.5
1.08	48.3
1.188	48.5
1.296	47.7
1.404	47.2
1.512	46.9
1.62	47.3
1.728	47.2
1.836	48.5
1.944	48
2.052	48
2.16	48.4
2.268	48.3
2.376	48.2
2.484	48
2.592	48
2.7	49.3
2.808	48.4
2.916	48.8
3.024	49.1
3.132	48.5
3.24	48.9
3.348	48
3.456	47.6
3.564	47.9
3.672	48.7
3.78	47.6
3.888	48.5
3.996	48.2
4.104	47.4
4.212	48.5
4.32	47.2
4.428	47.6
4.536	47.2
4.644	47.3
4.752	47.1
4.86	47.6
4.968	47.5
5.076	47.7
5.184	47.2
5.292	47.2
5.4	47.4
5.508	47.5
5.616	47.8
5.724	47.8
5.832	47.8
5.94	49.3
6.048	48.5
6.156	48.5
6.264	48.9
6.372	48.9
6.48	48.2
6.588	47.6
6.696	48
6.804	48.3
6.912	48.5
7.02	48.5
7.128	48.6
7.236	48.7
7.344	48.7
7.452	48.8
7.56	48.8
7.668	49.1
7.776	49.1
7.884	49.1
7.992	49.1
8.1	48.4
8.208	48.9
8.316	48.9
8.424	48.8
